id,drug_names,drugbank_identifier,pubchem_identifier,conditions,ICD_top_level_name,drugbank_id_A,drugbank_id_B,drugA,drugB,Combination_Count
JP2014196372,"['diclofenac sodium', 'l-menthol']","['DB00586', 'DB00825']","['CID5018304', 'CID16666']",pain ankle,"Symptoms, signs or clinical findings of the musculoskeletal system",DB00586,DB00825,diclofenac sodium,l-menthol,2
JP2017114789,"['loxoprofen sodium', 'methocarbamol']","['DB09212', 'DB00423']","['CID23663407', 'CID4107']",pain,"General symptoms, signs or clinical findings",DB09212,DB00423,loxoprofen sodium,methocarbamol,3
JP2017114789,"['loxoprofen sodium', 'methocarbamol']","['DB09212', 'DB00423']","['CID23663407', 'CID4107']",arthritis,Arthropathies,DB09212,DB00423,loxoprofen sodium,methocarbamol,3
JP2017114789,"['loxoprofen sodium', 'methocarbamol']","['DB09212', 'DB00423']","['CID23663407', 'CID4107']",pain low back,"Symptoms, signs or clinical findings of the musculoskeletal system",DB09212,DB00423,loxoprofen sodium,methocarbamol,3
JP2017226652,"['ripasudil', 'brimonidine']","['DB13165', 'DB00484']","['CID9863672', 'CID2435']",open-angle glaucoma,Disorders of the visual organs,DB13165,DB00484,ripasudil,brimonidine,4
JP2019031491,"['mitiglinide calcium hydrate', 'voglibose']","['DB01252', 'DB04878']","['CID121891', 'CID444020']",diabetes type 2,Endocrine diseases,DB01252,DB04878,mitiglinide calcium hydrate,voglibose,2
KR2013113734,"['cilostazol', 'ginkgo biloba extract']","['DB01166', 'DB01381']","['CID2754', '-1']",peripheral arterial disease (pad),Diseases of arteries or arterioles,DB01166,DB01381,cilostazol,ginkgo biloba extract,5
KR2013113734,"['cilostazol', 'ginkgo biloba extract']","['DB01166', 'DB01381']","['CID2754', '-1']",hypertension,Hypertensive diseases,DB01166,DB01381,cilostazol,ginkgo biloba extract,5
KR2013119765,"['ciprofloxacin', 'dexamethasone']","['DB00537', 'DB01234']","['CID2764', 'CID5743']",otitis externa,Skin disorders involving certain specific body regions,DB00537,DB01234,ciprofloxacin,dexamethasone,7
KR2013119765,"['ciprofloxacin', 'dexamethasone']","['DB00537', 'DB01234']","['CID2764', 'CID5743']",otitis media acute,Diseases of middle ear or mastoid,DB00537,DB01234,ciprofloxacin,dexamethasone,7
KR2014145508,"['ambroxol', 'levodropropizine']","['DB06742', 'DB12472']","['CID2132', 'CID65859']",cough,"Symptoms, signs or clinical findings, not elsewhere classified",DB06742,DB12472,ambroxol,levodropropizine,2
KR2015105496,"['sildenafil', 'dapoxetine']","['DB00203', 'DB04884']","['CID5212', 'CID71353']",erectile dysfunction,Conditions related to sexual health,DB00203,DB04884,sildenafil,dapoxetine,1
KR2019138537,"['lobeglitazone sulfate', 'metformin hydrochloride']","['DB09198', 'DB00331']","['CID15951505', 'CID14219']",diabetes type 2,Endocrine diseases,DB09198,DB00331,lobeglitazone sulfate,metformin hydrochloride,2
US10335464,"['insulin degludec', 'liraglutide']","['DB09564', 'DB06655']","['-1', 'CID44147092']",diabetes type 2,Endocrine diseases,DB09564,DB06655,insulin degludec,liraglutide,2
US10517950,"['meloxicam', 'rizatriptan']","['DB00814', 'DB00953']","['CID54677470', 'CID5078']",migraine,Headache disorders,DB00814,DB00953,meloxicam,rizatriptan,24
US20010008905,"['didanosine', 'hydroxyurea']","['DB00900', 'DB01005']","['CID50599', 'CID3657']",infection hiv,Diseases of the genitourinary system,DB00900,DB01005,didanosine,hydroxyurea,4
US20030138464,"['lidocaine', 'tetracaine']","['DB00281', 'DB09085']","['CID3676', 'CID5411']",neuralgia postherpetic (phn),"General symptoms, signs or clinical findings",DB00281,DB09085,lidocaine,tetracaine,11
US20030138464,"['lidocaine', 'tetracaine']","['DB00281', 'DB09085']","['CID3676', 'CID5411']",pain shoulder,Soft tissue disorders,DB00281,DB09085,lidocaine,tetracaine,11
US20040102445,"['brimonidine tartrate', 'timolol maleate']","['DB00484', 'DB00373']","['CID6917831', 'CID5281056']",glaucoma,Disorders of the visual organs,DB00484,DB00373,brimonidine tartrate,timolol maleate,28
US20050192274,"['chlorpromazine', 'pentamidine isethionate']","['DB00477', 'DB00738']","['CID2726', 'CID8813']",cancer solid tumor,"Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",DB00477,DB00738,chlorpromazine,pentamidine isethionate,6
US20050203125,"['dextromethorphan hydrobromide', 'quinidine sulfate']","['DB00514', 'DB00908']","['CID5464025', '-1']",autism spectrum disorders,Neurodevelopmental disorders,DB00514,DB00908,dextromethorphan hydrobromide,quinidine sulfate,12
US20050203125,"['dextromethorphan hydrobromide', 'quinidine sulfate']","['DB00514', 'DB00908']","['CID5464025', '-1']",dyskinesia,"Symptoms, signs or clinical findings of the musculoskeletal system",DB00514,DB00908,dextromethorphan hydrobromide,quinidine sulfate,11
US20050203125,"['dextromethorphan hydrobromide', 'quinidine sulfate']","['DB00514', 'DB00908']","['CID5464025', '-1']",major depression,Mood disorders,DB00514,DB00908,dextromethorphan hydrobromide,quinidine sulfate,11
US20050203125,"['dextromethorphan hydrobromide', 'quinidine sulfate']","['DB00514', 'DB00908']","['CID5464025', '-1']",pain neuropathic,Other disorders of the nervous system,DB00514,DB00908,dextromethorphan hydrobromide,quinidine sulfate,11
US20050203125,"['dextromethorphan hydrobromide', 'quinidine sulfate']","['DB00514', 'DB00908']","['CID5464025', '-1']",agitation,"Mental or behavioural symptoms, signs or clinical findings",DB00514,DB00908,dextromethorphan hydrobromide,quinidine sulfate,11
US20050203125,"['dextromethorphan hydrobromide', 'quinidine sulfate']","['DB00514', 'DB00908']","['CID5464025', '-1']",amyotrophic lateral sclerosis,Motor neuron diseases or related disorders,DB00514,DB00908,dextromethorphan hydrobromide,quinidine sulfate,11
US20050203125,"['dextromethorphan hydrobromide', 'quinidine sulfate']","['DB00514', 'DB00908']","['CID5464025', '-1']",diabetic neuropathy,"Disorders of nerve root, plexus or peripheral nerves",DB00514,DB00908,dextromethorphan hydrobromide,quinidine sulfate,11
US20050203125,"['dextromethorphan hydrobromide', 'quinidine sulfate']","['DB00514', 'DB00908']","['CID5464025', '-1']",cough,"Symptoms, signs or clinical findings, not elsewhere classified",DB00514,DB00908,dextromethorphan hydrobromide,quinidine sulfate,11
US20050222101,"['naphazoline', 'pheniramine']","['DB06711', 'DB01620']","['CID4436', 'CID4761']",conjunctivitis allergic,Disorders of the visual organs,DB06711,DB01620,naphazoline,pheniramine,3
US20060140990,"['clindamycin phosphate', 'butoconazole nitrate']","['DB01190', 'DB00639']","['CID10346039', 'CID47471']",infection vaginal,Diseases of the female genital system,DB01190,DB00639,clindamycin phosphate,butoconazole nitrate,2
US20080153830,"['phentolamine mesilate', 'terbutaline sulfate']","['DB00692', 'DB00871']","['-1', 'CID441334']",rheumatoid arthritis,Nonorgan specific systemic autoimmune disorders,DB00692,DB00871,phentolamine mesilate,terbutaline sulfate,1
US20100093712,"['buprenorphine hydrochloride', 'meloxicam']","['DB00921', 'DB00814']","['CID3033050', 'CID54677470']",pain chronic,"General symptoms, signs or clinical findings",DB00921,DB00814,buprenorphine hydrochloride,meloxicam,3
US20100151014,"['morphine sulfate', 'naltrexone hydrochloride']","['DB00295', 'DB00704']","['CID5288826', 'CID5485201']",pain chronic,"General symptoms, signs or clinical findings",DB00295,DB00704,morphine sulfate,naltrexone hydrochloride,12
US20110124589,"['fosfomycin', 'tobramycin']","['DB00828', 'DB00684']","['CID446987', 'CID36294']",bronchiectasis,Certain lower respiratory tract diseases,DB00828,DB00684,fosfomycin,tobramycin,3
US20110124589,"['fosfomycin', 'tobramycin']","['DB00828', 'DB00684']","['CID446987', 'CID36294']",fibrosis cystic,Metabolic disorders,DB00828,DB00684,fosfomycin,tobramycin,3
US20110124589,"['fosfomycin', 'tobramycin']","['DB00828', 'DB00684']","['CID446987', 'CID36294']",infection staphylococcus aureus (methicillin-resistant (mrsa)),Pyogenic bacterial infections of the skin or subcutaneous tissues,DB00828,DB00684,fosfomycin,tobramycin,3
US20110124589,"['fosfomycin', 'tobramycin']","['DB00828', 'DB00684']","['CID446987', 'CID36294']",infection pseudomonas aeruginosa,Diseases of the urinary system,DB00828,DB00684,fosfomycin,tobramycin,3
US20110129822,"['5-fluorouracil', 'epinephrine']","['DB00544', 'DB00668']","['CID3385', 'CID5816']",warts genital,Diseases of the genitourinary system,DB00544,DB00668,5-fluorouracil,epinephrine,1
US20110262496,"['guanfacine', 'amfetamine sulfate']","['DB01018', 'DB00182']","['CID3519', '-1']",tourette disease,Diseases of the nervous system,DB01018,DB00182,guanfacine,amfetamine sulfate,2
US20120225836,"['decitabine', 'tetrahydrouridine']","['DB01262', 'DB12484']","['CID451668', 'CID29243']",sickle cell disease,Anaemias or other erythrocyte disorders,DB01262,DB12484,decitabine,tetrahydrouridine,6
US20130004573,"['hydralazine hydrochloride', 'isosorbide dinitrate']","['DB01275', 'DB00883']","['CID9351', 'CID943']",heart failure,Diseases of the circulatory system,DB01275,DB00883,hydralazine hydrochloride,isosorbide dinitrate,8
US20130165518,"['hydrocodone', 'ibuprofen']","['DB00956', 'DB01050']","['CID5284569', 'CID3672']",pain,"General symptoms, signs or clinical findings",DB00956,DB01050,hydrocodone,ibuprofen,10
US20130224265,"['oxycodone', 'naltrexone']","['DB00497', 'DB00704']","['CID5284603', 'CID5360515']",pain chronic,"General symptoms, signs or clinical findings",DB00497,DB00704,oxycodone,naltrexone,13
US20130224265,"['oxycodone', 'naltrexone']","['DB00497', 'DB00704']","['CID5284603', 'CID5360515']",pain low back,"Symptoms, signs or clinical findings of the musculoskeletal system",DB00497,DB00704,oxycodone,naltrexone,4
US20130263852,"['amikacin', 'fosfomycin']","['DB00479', 'DB00828']","['CID37768', 'CID446987']",pneumonia bacterial,Diseases of the respiratory system,DB00479,DB00828,amikacin,fosfomycin,11
US20130324497,"['lamivudine', 'adefovir dipivoxil']","['DB00709', 'DB00718']","['CID60825', '-1']",hepatitis b (hbv),Diseases of the digestive system,DB00709,DB00718,lamivudine,adefovir dipivoxil,2
US20150133486,"['bupropion hydrochloride', 'dextromethorphan']","['DB01156', 'DB00514']","['CID62884', 'CID5360696']",pain,"General symptoms, signs or clinical findings",DB01156,DB00514,bupropion hydrochloride,dextromethorphan,47
US20150133486,"['bupropion hydrochloride', 'dextromethorphan']","['DB01156', 'DB00514']","['CID62884', 'CID5360696']",treatment resistant depression,Mood disorders,DB01156,DB00514,bupropion hydrochloride,dextromethorphan,90
US20150133486,"['bupropion hydrochloride', 'dextromethorphan']","['DB01156', 'DB00514']","['CID62884', 'CID5360696']",dementia alzheimer type,Neurocognitive disorders,DB01156,DB00514,bupropion hydrochloride,dextromethorphan,45
US20150133486,"['bupropion hydrochloride', 'dextromethorphan']","['DB01156', 'DB00514']","['CID62884', 'CID5360696']",agitation,"Mental or behavioural symptoms, signs or clinical findings",DB01156,DB00514,bupropion hydrochloride,dextromethorphan,45
US20150136143,"['dapivirine', 'maraviroc']","['DB08639', 'DB04835']","['CID214347', 'CID3002977']",infection hiv,Diseases of the genitourinary system,DB08639,DB04835,dapivirine,maraviroc,2
US20150297729,"['bupivacaine', 'meloxicam']","['DB00297', 'DB00814']","['-1', 'CID54677470']",pain postoperative,"General symptoms, signs or clinical findings",DB00297,DB00814,bupivacaine,meloxicam,8
US20150306173,"['vancomycin hydrochloride', 'gentamicin']","['DB00512', 'DB00798']","['CID6420023', 'CID3467']",infection bacterial,Other bacterial diseases,DB00512,DB00798,vancomycin hydrochloride,gentamicin,5
US20150374684,"['lurasidone hydrochloride', 'd-cycloserine']","['DB08815', 'DB00260']","['CID11237860', 'CID6234']",suicidal depression,Intentional self-harm,DB08815,DB00260,lurasidone hydrochloride,d-cycloserine,2
US20160175318,"['cefepime', 'tazobactam']","['DB01413', 'DB01606']","['CID5479537', 'CID123630']",pyelonephritis acute,Diseases of the urinary system,DB01413,DB01606,cefepime,tazobactam,10
US20160175318,"['cefepime', 'tazobactam']","['DB01413', 'DB01606']","['CID5479537', 'CID123630']",pneumonia hospital-acquired,Diseases of the respiratory system,DB01413,DB01606,cefepime,tazobactam,5
US20160193343,"['mesalamine', 'hyaluronate sodium']","['DB00244', 'DB08818']","['CID4075', '-1']",inflammatory bowel disease,Diseases of the digestive system,DB00244,DB08818,mesalamine,hyaluronate sodium,2
US20160193343,"['mesalamine', 'hyaluronate sodium']","['DB00244', 'DB08818']","['CID4075', '-1']",ulcerative colitis,Inflammatory bowel diseases,DB00244,DB08818,mesalamine,hyaluronate sodium,2
US20160199377,"['famciclovir', 'celecoxib']","['DB00426', 'DB00482']","['CID3324', 'CID2662']",fibromyalgia,"General symptoms, signs or clinical findings",DB00426,DB00482,famciclovir,celecoxib,9
US20160243065,"['dapsone', 'adapalene']","['DB00250', 'DB00210']","['CID2955', 'CID60164']",acne,Skin disorders involving specific cutaneous structures,DB00250,DB00210,dapsone,adapalene,5
US20160317471,"['rasagiline mesilate', 'pramipexole hydrochloride']","['DB01367', 'DB00413']","['-1', '-1']",parkinson's disease,Movement disorders,DB01367,DB00413,rasagiline mesilate,pramipexole hydrochloride,4
US20170095499,"['sofosbuvir', 'velpatasvir']","['DB08934', 'DB11613']","['CID45375808', 'CID67683363']",infection hiv,Diseases of the genitourinary system,DB08934,DB11613,sofosbuvir,velpatasvir,3
US20170119739,"['danoprevir', 'ritonavir']","['DB11779', 'DB00503']","['CID11285588', 'CID392622']",infection viral,Certain other viral diseases,DB11779,DB00503,danoprevir,ritonavir,3
US20170196901,"['propranolol hydrochloride', 'etodolac']","['DB00571', 'DB00749']","['CID4946', 'CID3308']",cancer pancreas,Diseases of pancreas,DB00571,DB00749,propranolol hydrochloride,etodolac,4
US20170196901,"['propranolol hydrochloride', 'etodolac']","['DB00571', 'DB00749']","['CID4946', 'CID3308']",cachexia cancer related,"General symptoms, signs or clinical findings",DB00571,DB00749,propranolol hydrochloride,etodolac,4
US20170196901,"['propranolol hydrochloride', 'etodolac']","['DB00571', 'DB00749']","['CID4946', 'CID3308']",cancer liver (hepatocellular carcinoma),"Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",DB00571,DB00749,propranolol hydrochloride,etodolac,6
US20170196901,"['propranolol hydrochloride', 'etodolac']","['DB00571', 'DB00749']","['CID4946', 'CID3308']",cancer prostate,Diseases of the male genital system,DB00571,DB00749,propranolol hydrochloride,etodolac,4
US20170196901,"['propranolol hydrochloride', 'etodolac']","['DB00571', 'DB00749']","['CID4946', 'CID3308']",glioma,Neoplasms of brain or central nervous system,DB00571,DB00749,propranolol hydrochloride,etodolac,4
US20170290810,"['clotrimazole', 'betamethasone dipropionate']","['DB00257', 'DB00443']","['CID2812', 'CID21800']",tinea,Mycoses,DB00257,DB00443,clotrimazole,betamethasone dipropionate,1
US20170290810,"['clotrimazole', 'betamethasone dipropionate']","['DB00257', 'DB00443']","['CID2812', 'CID21800']",infection fungal,Arthropathies,DB00257,DB00443,clotrimazole,betamethasone dipropionate,1
US20180110744,"['disulfiram', 'copper gluconate']","['DB00822', 'DB11246']","['CID3117', 'CID10242']",cancer breast metastatic,Disorders of breast,DB00822,DB11246,disulfiram,copper gluconate,2
US20180110744,"['disulfiram', 'copper gluconate']","['DB00822', 'DB11246']","['CID3117', 'CID10242']",cancer lung (non-small cell) (nsclc) metastatic,Neoplasms of the respiratory system,DB00822,DB11246,disulfiram,copper gluconate,2
US20180110744,"['disulfiram', 'copper gluconate']","['DB00822', 'DB11246']","['CID3117', 'CID10242']",glioblastoma multiforme,Neoplasms of brain or central nervous system,DB00822,DB11246,disulfiram,copper gluconate,2
US20180110744,"['disulfiram', 'copper gluconate']","['DB00822', 'DB11246']","['CID3117', 'CID10242']",cancer pancreas metastatic,Diseases of pancreas,DB00822,DB11246,disulfiram,copper gluconate,2
US20180110744,"['disulfiram', 'copper gluconate']","['DB00822', 'DB11246']","['CID3117', 'CID10242']",cancer prostate (castration-resistant) metastatic,Diseases of the male genital system,DB00822,DB11246,disulfiram,copper gluconate,2
US20180147141,"['cannabidiol', 'gabapentin']","['DB09061', 'DB00996']","['CID644019', 'CID3446']",restless legs syndrome,Movement disorders,DB09061,DB00996,cannabidiol,gabapentin,1
US20180207183,"['meropenem', 'vaborbactam']","['DB00760', 'DB12107']","['CID441130', 'CID56649692']",pyelonephritis acute,Diseases of the urinary system,DB00760,DB12107,meropenem,vaborbactam,10
US20180207183,"['meropenem', 'vaborbactam']","['DB00760', 'DB12107']","['CID441130', 'CID56649692']",pneumonia hospital-acquired,Diseases of the respiratory system,DB00760,DB12107,meropenem,vaborbactam,4
US20180207183,"['meropenem', 'vaborbactam']","['DB00760', 'DB12107']","['CID441130', 'CID56649692']",infection bacterial gram-negative,Other bacterial diseases,DB00760,DB12107,meropenem,vaborbactam,4
US20180318209,"['samidorphan', 'buprenorphine']","['DB12543', 'DB00921']","['CID11667832', 'CID644073']",cocaine dependency,Disorders due to substance use or addictive behaviours,DB12543,DB00921,samidorphan,buprenorphine,1
US20180318209,"['samidorphan', 'buprenorphine']","['DB12543', 'DB00921']","['CID11667832', 'CID644073']",major depression,Mood disorders,DB12543,DB00921,samidorphan,buprenorphine,3
US20180318209,"['samidorphan', 'buprenorphine']","['DB12543', 'DB00921']","['CID11667832', 'CID644073']",liver diseases,Diseases of the digestive system,DB12543,DB00921,samidorphan,buprenorphine,1
US20190015368,"['benzoyl peroxide', 'tretinoin']","['DB09096', 'DB00755']","['CID7187', 'CID444795']",acne vulgaris,Skin disorders involving specific cutaneous structures,DB09096,DB00755,benzoyl peroxide,tretinoin,5
US20190201508,"['celecoxib', 'olmesartan']","['DB00482', 'DB00275']","['CID2662', 'CID158781']",arthritis,Arthropathies,DB00482,DB00275,celecoxib,olmesartan,2
US20190201508,"['celecoxib', 'olmesartan']","['DB00482', 'DB00275']","['CID2662', 'CID158781']",cancer colorectal,"Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",DB00482,DB00275,celecoxib,olmesartan,2
US20190201508,"['celecoxib', 'olmesartan']","['DB00482', 'DB00275']","['CID2662', 'CID158781']",hypertension,Hypertensive diseases,DB00482,DB00275,celecoxib,olmesartan,2
US20190224320,"['meloxicam', 'esomeprazole']","['DB00814', 'DB00736']","['CID54677470', 'CID9568614']",pain chronic,"General symptoms, signs or clinical findings",DB00814,DB00736,meloxicam,esomeprazole,1
US20190224320,"['meloxicam', 'esomeprazole']","['DB00814', 'DB00736']","['CID54677470', 'CID9568614']",osteoarthritis,Arthropathies,DB00814,DB00736,meloxicam,esomeprazole,1
US20190224320,"['meloxicam', 'esomeprazole']","['DB00814', 'DB00736']","['CID54677470', 'CID9568614']",rheumatoid arthritis,Nonorgan specific systemic autoimmune disorders,DB00814,DB00736,meloxicam,esomeprazole,1
US20190255072,"['sodium phenylbutyrate', 'tauroursodeoxycholic acid']","['DB06819', 'DB08834']","['CID5258', 'CID9848818']",dementia alzheimer type,Neurocognitive disorders,DB06819,DB08834,sodium phenylbutyrate,tauroursodeoxycholic acid,5
US20190255072,"['sodium phenylbutyrate', 'tauroursodeoxycholic acid']","['DB06819', 'DB08834']","['CID5258', 'CID9848818']",amyotrophic lateral sclerosis,Motor neuron diseases or related disorders,DB06819,DB08834,sodium phenylbutyrate,tauroursodeoxycholic acid,2
US20190282507,"['celecoxib', 'amlodipine besylate']","['DB00482', 'DB00381']","['CID2662', 'CID60496']",pain osteoarthritis,Arthropathies,DB00482,DB00381,celecoxib,amlodipine besylate,2
US20190282507,"['celecoxib', 'amlodipine besylate']","['DB00482', 'DB00381']","['CID2662', 'CID60496']",hypertension,Hypertensive diseases,DB00482,DB00381,celecoxib,amlodipine besylate,2
US20190307727,"['oxybutynin hydrochloride', 'pilocarpine hydrochloride']","['DB01062', 'DB01085']","['-1', 'CID5910']",hyperhidrosis,Disorders of autonomic nervous system,DB01062,DB01085,oxybutynin hydrochloride,pilocarpine hydrochloride,2
US20200009117,"['aclidinium bromide', 'formoterol fumarate']","['DB08897', 'DB00983']","['CID11519741', 'CID53477580']",chronic obstructive pulmonary disease (copd),Certain lower respiratory tract diseases,DB08897,DB00983,aclidinium bromide,formoterol fumarate,2
US20200085790,"['baclofen', 'acamprosate']","['DB00181', 'DB00659']","['CID2284', 'CID71158']",dementia alzheimer type,Neurocognitive disorders,DB00181,DB00659,baclofen,acamprosate,9
US20200085790,"['baclofen', 'acamprosate']","['DB00181', 'DB00659']","['CID2284', 'CID71158']",amyotrophic lateral sclerosis,Motor neuron diseases or related disorders,DB00181,DB00659,baclofen,acamprosate,9
US20200085790,"['baclofen', 'acamprosate']","['DB00181', 'DB00659']","['CID2284', 'CID71158']",parkinson's disease,Movement disorders,DB00181,DB00659,baclofen,acamprosate,9
US5552394,"['norethisterone acetate', 'ethinylestradiol']","['DB00717', 'DB00977']","['CID63021', 'CID5991']",postmenopausal syndrome,Diseases of the female genital system,DB00717,DB00977,norethisterone acetate,ethinylestradiol,4
US5552394,"['norethisterone acetate', 'ethinylestradiol']","['DB00717', 'DB00977']","['CID63021', 'CID5991']",osteoporosis,Osteopathies or chondropathies,DB00717,DB00977,norethisterone acetate,ethinylestradiol,4
US5601843,"['misoprostol', 'diclofenac sodium']","['DB00929', 'DB00586']","['CID5282381', 'CID5018304']",osteoarthritis,Arthropathies,DB00929,DB00586,misoprostol,diclofenac sodium,9
US5601843,"['misoprostol', 'diclofenac sodium']","['DB00929', 'DB00586']","['CID5282381', 'CID5018304']",rheumatoid arthritis,Nonorgan specific systemic autoimmune disorders,DB00929,DB00586,misoprostol,diclofenac sodium,7
US5886039,"['prazosin', 'alprostadil']","['DB00457', 'DB00770']","['CID4893', 'CID5280723']",erectile dysfunction,Conditions related to sexual health,DB00457,DB00770,prazosin,alprostadil,1
US6017961,"['ketamine hydrochloride', 'butamben']","['DB01221', 'DB11148']","['CID15851', 'CID2482']",pain neuropathic,Other disorders of the nervous system,DB01221,DB11148,ketamine hydrochloride,butamben,1
US6337324,"['acyclovir', 'hydrocortisone']","['DB00787', 'DB00741']","['CID2022', 'CID5754']",herpes labialis,Diseases of the genitourinary system,DB00787,DB00741,acyclovir,hydrocortisone,4
US6413993,"['atovaquone', 'proguanil hydrochloride']","['DB01117', 'DB01131']","['CID74989', 'CID9570076']",malaria,Certain infectious or parasitic diseases,DB01117,DB01131,atovaquone,proguanil hydrochloride,4
US6441038,"['lofepramine', 'l-phenylalanine']","['DB13411', 'DB00120']","['CID3947', 'CID6140']",multiple sclerosis,Multiple sclerosis or other white matter disorders,DB13411,DB00120,lofepramine,l-phenylalanine,1
US6472373,"['interferon alfa-2b', 'ribavirin']","['DB00105', 'DB00811']","['CID71306834', 'CID37542']",hepatitis c (hcv),Diseases of the digestive system,DB00105,DB00811,interferon alfa-2b,ribavirin,8
WO1999062543,"['pentoxifylline', 'vitamin e']","['DB00806', 'DB00163']","['CID4740', 'CID14985']",bronchiolitis obliterans syndrome,Certain lower respiratory tract diseases,DB00806,DB00163,pentoxifylline,vitamin e,2
WO1999062543,"['pentoxifylline', 'vitamin e']","['DB00806', 'DB00163']","['CID4740', 'CID14985']",idiopathic pulmonary fibrosis,Respiratory diseases principally affecting the lung interstitium,DB00806,DB00163,pentoxifylline,vitamin e,2
WO1999062543,"['pentoxifylline', 'vitamin e']","['DB00806', 'DB00163']","['CID4740', 'CID14985']",cirrhosis,Diseases of liver,DB00806,DB00163,pentoxifylline,vitamin e,2
WO2000038691,"['norgestimate', 'ethinylestradiol']","['DB00957', 'DB00977']","['CID6540478', 'CID5991']",bone disorders,Diseases of the musculoskeletal system or connective tissue,DB00957,DB00977,norgestimate,ethinylestradiol,1
WO2000038691,"['norgestimate', 'ethinylestradiol']","['DB00957', 'DB00977']","['CID6540478', 'CID5991']",acne,Skin disorders involving specific cutaneous structures,DB00957,DB00977,norgestimate,ethinylestradiol,1
WO2001026640,"['estradiol valerate', 'medroxyprogesterone acetate']","['DB13956', 'DB00603']","['CID13791', 'CID6279']",failure ovarian,Diseases of the female genital system,DB13956,DB00603,estradiol valerate,medroxyprogesterone acetate,1
WO2001026640,"['estradiol valerate', 'medroxyprogesterone acetate']","['DB13956', 'DB00603']","['CID13791', 'CID6279']",osteoporosis,Osteopathies or chondropathies,DB13956,DB00603,estradiol valerate,medroxyprogesterone acetate,1
WO2001026640,"['estradiol valerate', 'medroxyprogesterone acetate']","['DB13956', 'DB00603']","['CID13791', 'CID6279']",hormone replacement therapy,Reasons for contact with the health services,DB13956,DB00603,estradiol valerate,medroxyprogesterone acetate,1
WO2002011683,"['clindamycin phosphate', 'tretinoin']","['DB01190', 'DB00755']","['CID10346039', 'CID444795']",acne,Skin disorders involving specific cutaneous structures,DB01190,DB00755,clindamycin phosphate,tretinoin,3
WO2003015699,"['ketamine hydrochloride', 'amitriptyline hydrochloride']","['DB01221', 'DB00321']","['CID15851', 'CID11065']",pain,"General symptoms, signs or clinical findings",DB01221,DB00321,ketamine hydrochloride,amitriptyline hydrochloride,2
WO2003015699,"['ketamine hydrochloride', 'amitriptyline hydrochloride']","['DB01221', 'DB00321']","['CID15851', 'CID11065']",peripheral neuropathy,"Disorders of nerve root, plexus or peripheral nerves",DB01221,DB00321,ketamine hydrochloride,amitriptyline hydrochloride,2
WO2003024433,"['ipratropium bromide', 'xylometazoline hydrochloride']","['DB00332', 'DB06694']","['CID657308', 'CID5282386']",upper respiratory tract disorders,Diseases of the respiratory system,DB00332,DB06694,ipratropium bromide,xylometazoline hydrochloride,1
WO2004010894,"['ketorolac tromethamine', 'phenylephrine']","['DB00465', 'DB00388']","['CID84003', 'CID6041']",surgery cataract,Reasons for contact with the health services,DB00465,DB00388,ketorolac tromethamine,phenylephrine,3
WO2005011634,"['atorvastatin calcium', 'torcetrapib']","['DB01076', 'DB06281']","['CID60822', 'CID159325']",atherosclerosis,Diseases of arteries or arterioles,DB01076,DB06281,atorvastatin calcium,torcetrapib,3
WO2005011634,"['atorvastatin calcium', 'torcetrapib']","['DB01076', 'DB06281']","['CID60822', 'CID159325']",hypercholesterolemia,Metabolic disorders,DB01076,DB06281,atorvastatin calcium,torcetrapib,3
WO2006004803,"['bezafibrate', 'diflunisal']","['DB01393', 'DB00861']","['CID39042', 'CID3059']",diabetes type 2,Endocrine diseases,DB01393,DB00861,bezafibrate,diflunisal,1
WO2006049391,"['pyronaridine', 'artesunate']","['DB12975', 'DB09274']","['CID107771', 'CID6917864']",malaria,Certain infectious or parasitic diseases,DB12975,DB09274,pyronaridine,artesunate,1
WO2006076663,"['lidocaine', 'heparin']","['DB00281', 'DB01109']","['CID3676', 'CID22833565']",sexual dysfunction female,Conditions related to sexual health,DB00281,DB01109,lidocaine,heparin,2
WO2006076663,"['lidocaine', 'heparin']","['DB00281', 'DB01109']","['CID3676', 'CID22833565']",cystitis,Diseases of the urinary system,DB00281,DB01109,lidocaine,heparin,2
WO2006076663,"['lidocaine', 'heparin']","['DB00281', 'DB01109']","['CID3676', 'CID22833565']",pain pelvic,Diseases of the female genital system,DB00281,DB01109,lidocaine,heparin,2
WO2006076663,"['lidocaine', 'heparin']","['DB00281', 'DB01109']","['CID3676', 'CID22833565']",cystitis interstitial,Female pelvic pain associated with genital organs or menstrual cycle,DB00281,DB01109,lidocaine,heparin,2
WO2006125123,"['sodium nitrite', 'edta']","['DB09112', 'DB00974']","['CID23668193', 'CID6049']",chronic obstructive pulmonary disease (copd),Certain lower respiratory tract diseases,DB09112,DB00974,sodium nitrite,edta,2
WO2006125123,"['sodium nitrite', 'edta']","['DB09112', 'DB00974']","['CID23668193', 'CID6049']",infection respiratory (lung),Diseases of the respiratory system,DB09112,DB00974,sodium nitrite,edta,2
